file,y,x
20161019-1-1.mat,209.2272727,355.0454545
20161019-1-1.mat,87.77272727,376.8636364
20161019-1-1.mat,180.1363636,188.5
20161019-1-1.mat,94.31818182,204.5
20161019-1-1.mat,153.2272727,31.40909091
20161019-1-1.mat,14.31818182,61.22727273
20161019-1-10.mat,206.3181818,464.8636364
20161019-1-10.mat,87.04545455,479.4090909
20161019-1-10.mat,192.5,296.1363636
20161019-1-10.mat,17.22727273,314.3181818
20161019-1-10.mat,177.2272727,130.3181818
20161019-1-10.mat,6.318181818,147.7727273
20161019-1-10.mat,171.4090909,54.68181818
20161019-1-10.mat,20.86363636,72.13636364
20161019-1-128.mat,47.04545455,339.7727273
20161019-1-128.mat,4.863636364,339.7727273
20161019-1-128.mat,54.31818182,166.6818182
20161019-1-128.mat,2.681818182,165.9545455
20161019-1-16.mat,206.3181818,550.6818182
20161019-1-16.mat,116.1363636,560.8636364
20161019-1-16.mat,191.7727273,385.5909091
20161019-1-16.mat,10.68181818,398.6818182
20161019-1-16.mat,179.4090909,215.4090909
20161019-1-16.mat,20.86363636,230.6818182
20161019-1-16.mat,173.5909091,140.5
20161019-1-16.mat,9.954545455,154.3181818
20161019-1-219.mat,490.6818182,309.2272727
20161019-1-219.mat,598.3181818,320.8636364
20161019-1-219.mat,515.4090909,122.3181818
20161019-1-219.mat,597.5909091,137.5909091
20161019-1-23.mat,188.8636364,477.2272727
20161019-1-23.mat,24.5,491.7727273
20161019-1-23.mat,179.4090909,307.7727273
20161019-1-23.mat,12.86363636,323.0454545
20161019-1-23.mat,173.5909091,232.1363636
20161019-1-23.mat,20.13636364,243.7727273
20161019-1-23.mat,161.2272727,75.04545455
20161019-1-23.mat,5.590909091,91.77272727
20161019-1-234.mat,147.4090909,372.5
20161019-1-234.mat,96.5,378.3181818
20161019-1-234.mat,122.6818182,209.5909091
20161019-1-234.mat,1.954545455,228.5
20161019-1-234.mat,94.31818182,35.77272727
20161019-1-234.mat,6.318181818,49.59090909
20161019-1-234.mat,474.6818182,281.5909091
20161019-1-234.mat,449.2272727,57.59090909
20161019-1-234.mat,457.2272727,130.3181818
20161019-1-234.mat,591.7727273,115.0454545
20161019-1-243.mat,149.5909091,565.9545455
20161019-1-243.mat,93.59090909,576.8636364
20161019-1-243.mat,123.4090909,395.7727273
20161019-1-243.mat,4.136363636,415.4090909
20161019-1-243.mat,95.04545455,223.4090909
20161019-1-243.mat,1.227272727,239.4090909
20161019-1-243.mat,79.04545455,132.5
20161019-1-243.mat,1.227272727,145.5909091
20161019-1-243.mat,483.4090909,458.3181818
20161019-1-243.mat,428.8636364,154.3181818
20161019-1-243.mat,456.5,309.2272727
20161019-1-243.mat,543.7727273,293.2272727
20161019-1-243.mat,430.3181818,163.0454545
20161019-1-243.mat,496.5,152.8636364
20161019-1-300.mat,59.40909091,501.9545455
20161019-1-300.mat,1.954545455,484.5
20161019-1-300.mat,103.0454545,341.2272727
20161019-1-300.mat,3.409090909,312.1363636
20161019-1-300.mat,127.0454545,254.6818182
20161019-1-300.mat,3.409090909,221.9545455
20161019-1-300.mat,169.9545455,101.9545455
20161019-1-300.mat,6.318181818,52.5
20161019-1-309.mat,159.0454545,575.4090909
20161019-1-309.mat,81.95454545,578.3181818
20161019-1-309.mat,160.5,418.3181818
20161019-1-309.mat,6.318181818,417.5909091
20161019-1-309.mat,164.1363636,240.8636364
20161019-1-309.mat,6.318181818,238.6818182
20161019-1-309.mat,166.3181818,153.5909091
20161019-1-309.mat,44.13636364,152.8636364
20161019-1-317.mat,159.0454545,477.2272727
20161019-1-317.mat,17.95454545,541.9545455
20161019-1-317.mat,121.9545455,394.3181818
20161019-1-317.mat,18.68181818,446.6818182
20161019-1-317.mat,47.04545455,235.0454545
20161019-1-317.mat,2.681818182,258.3181818
20161019-1-37.mat,172.1363636,397.2272727
20161019-1-37.mat,20.13636364,408.8636364
20161019-1-37.mat,177.9545455,472.8636364
20161019-1-37.mat,49.95454545,483.7727273
20161019-1-37.mat,148.8636364,77.22727273
20161019-1-37.mat,180.1363636,491.7727273
20161019-1-37.mat,160.5,235.0454545
20161019-1-37.mat,5.590909091,248.8636364
20161019-1-374.mat,337.9545455,544.1363636
20161019-1-374.mat,292.1363636,596.5
20161019-1-374.mat,205.5909091,440.1363636
20161019-1-374.mat,123.4090909,538.3181818
20161019-1-374.mat,135.7727273,385.5909091
20161019-1-374.mat,30.31818182,512.1363636
20161019-1-388.mat,122.6818182,325.9545455
20161019-1-388.mat,113.2272727,464.8636364
20161019-1-388.mat,211.4090909,331.7727273
20161019-1-388.mat,194.6818182,525.2272727
20161019-1-388.mat,383.7727273,343.4090909
20161019-1-388.mat,369.9545455,518.6818182
20161019-1-388.mat,534.3181818,353.5909091
20161019-1-388.mat,528.5,507.0454545
20161019-1-404.mat,116.8636364,228.5
20161019-1-404.mat,117.5909091,328.1363636
20161019-1-404.mat,207.0454545,228.5
20161019-1-404.mat,205.5909091,400.8636364
20161019-1-404.mat,378.6818182,227.0454545
20161019-1-404.mat,378.6818182,464.8636364
20161019-1-404.mat,527.7727273,224.8636364
20161019-1-404.mat,529.9545455,328.1363636
20161019-1-54.mat,148.1363636,315.7727273
20161019-1-54.mat,163.4090909,507.7727273
20161019-1-54.mat,160.5,479.4090909
20161019-1-54.mat,44.86363636,490.3181818
20161019-1-54.mat,140.1363636,191.4090909
20161019-1-54.mat,1.227272727,205.2272727
20161019-1-54.mat,129.2272727,35.77272727
20161019-1-54.mat,4.136363636,48.86363636
20161019-1-59.mat,172.1363636,555.0454545
20161019-1-59.mat,84.13636364,571.7727273
20161019-1-59.mat,151.0454545,409.5909091
20161019-1-59.mat,158.3181818,500.5
20161019-1-59.mat,137.2272727,288.8636364
20161019-1-59.mat,4.136363636,304.1363636
20161019-1-59.mat,120.5,130.3181818
20161019-1-59.mat,4.136363636,144.1363636
20161019-1-85.mat,127.0454545,478.6818182
20161019-1-85.mat,45.59090909,493.9545455
20161019-1-85.mat,103.7727273,317.9545455
20161019-1-85.mat,4.863636364,332.5
20161019-1-85.mat,91.40909091,234.3181818
20161019-1-85.mat,3.409090909,247.4090909
20161019-1-85.mat,68.13636364,69.95454545
20161019-1-85.mat,129.9545455,497.5909091
20161019-1-98.mat,87.77272727,400.8636364
20161019-1-98.mat,1.227272727,413.9545455
20161019-1-98.mat,99.40909091,481.5909091
20161019-1-98.mat,4.136363636,499.0454545
20161019-1-98.mat,65.95454545,237.2272727
20161019-1-98.mat,106.6818182,541.9545455
20161019-2-15.mat,161.9545455,492.5
20161019-2-15.mat,96.5,493.2272727
20161019-2-15.mat,162.6818182,331.0454545
20161019-2-15.mat,16.5,334.6818182
20161019-2-15.mat,164.1363636,247.4090909
20161019-2-15.mat,15.77272727,247.4090909
20161019-2-15.mat,164.1363636,81.59090909
20161019-2-15.mat,163.4090909,384.1363636
20161019-2-18.mat,165.5909091,560.1363636
20161019-2-18.mat,86.31818182,565.2272727
20161019-2-18.mat,165.5909091,158.6818182
20161019-2-18.mat,164.1363636,487.4090909
20161019-2-18.mat,164.1363636,404.5
20161019-2-18.mat,7.045454545,405.2272727
20161019-2-18.mat,164.8636364,320.8636364
20161019-2-18.mat,15.77272727,323.0454545
20161019-2-21.mat,165.5909091,220.5
20161019-2-21.mat,162.6818182,560.1363636
20161019-2-21.mat,164.1363636,383.4090909
20161019-2-21.mat,3.409090909,387.7727273
20161019-2-21.mat,163.4090909,467.0454545
20161019-2-21.mat,8.5,474.3181818
20161019-2-476.mat,132.8636364,283.7727273
20161019-2-476.mat,138.6818182,560.1363636
20161019-2-476.mat,135.7727273,458.3181818
20161019-2-476.mat,4.863636364,466.3181818
20161019-2-476.mat,485.5909091,437.9545455
20161019-2-476.mat,599.0454545,429.2272727
20161019-2-476.mat,481.2272727,270.6818182
20161019-2-476.mat,597.5909091,265.5909091
20161019-2-520.mat,479.7727273,86.68181818
20161019-2-520.mat,596.8636364,91.77272727
20161019-2-520.mat,483.4090909,275.7727273
20161019-2-520.mat,481.2272727,48.86363636
20161019-2-524.mat,500.1363636,189.9545455
20161019-2-524.mat,597.5909091,197.9545455
20161019-2-524.mat,487.7727273,376.8636364
20161019-2-524.mat,505.2272727,125.2272727
20161019-2-55.mat,165.5909091,399.4090909
20161019-2-55.mat,8.5,407.4090909
20161019-2-55.mat,161.2272727,227.0454545
20161019-2-55.mat,7.772727273,233.5909091
20161019-2-55.mat,155.4090909,52.5
20161019-2-55.mat,167.0454545,412.5
20161019-2-58.mat,166.3181818,468.5
20161019-2-58.mat,12.13636364,482.3181818
20161019-2-58.mat,159.0454545,298.3181818
20161019-2-58.mat,30.31818182,304.1363636
20161019-2-58.mat,151.7727273,125.2272727
20161019-2-58.mat,163.4090909,380.5
